age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,sample_id,counterfactual_found
30.0, Federal-gov,206051.0, 10th,13.156246617269305, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,0,1
43.0, Federal-gov,188696.0, 10th,11.0, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,86521.98726528458,0.0,40.0, Cambodia,1,1
29.0, Federal-gov,812756.1103018734, 10th,9.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,85285.7994095629,0.0,40.0, Cambodia,2,1
27.0, Federal-gov,267147.0, 10th,9.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,59573.43409191134,0.0,40.0, Cambodia,3,1
24.0, Federal-gov,99386.0, 10th,13.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,94867.42210737783,0.0,40.0, Cambodia,4,1
31.0, Federal-gov,196025.0, 10th,16.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,50635.042069603245,0.0,60.0, Cambodia,5,1
36.0, Federal-gov,526968.0, 10th,6.0, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,15760.152192161964,0.0,40.0, Cambodia,6,1
36.0, Federal-gov,207157.0, 10th,10.0, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,10015.304323954406,0.0,40.0, Cambodia,7,1
47.0, Federal-gov,573583.0, 10th,1.7924334831319246, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,48.0, Cambodia,8,1
63.0, Federal-gov,111963.0, 11th,10.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,31117.299284926,0.0,16.0, Cambodia,9,1
20.0, Federal-gov,51816.0, 10th,4.843911088226962, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,66145.01089344158,0.0,40.0, Cambodia,10,1
65.0, Private,195733.0, 11th,10.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,81355.4784852035,0.0,30.0, Cambodia,11,1
36.0, Federal-gov,51100.0, 10th,10.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,12,1
43.0, Federal-gov,147110.0, 11th,10.0, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,43217.19476399081,0.0,48.0, Cambodia,13,1
73.98384612549833, Federal-gov,133937.0, 10th,16.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,14,1
31.0, Federal-gov,209276.0, 10th,9.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,54926.05801087316,0.0,40.0, Cambodia,15,1
18.0, Federal-gov,266287.0, 10th,8.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,57642.56486233302,0.0,35.0, Cambodia,16,1
26.0, Federal-gov,112847.0, 10th,11.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,92109.69929944718,0.0,40.0, Cambodia,17,1
28.0, Federal-gov,241895.0, 10th,9.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,6118.741428458432,1628.0,40.0, Cambodia,18,1
34.0, Federal-gov,122116.0, 11th,10.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,4824.835999285121,0.0,40.0, Cambodia,19,1
44.0, Federal-gov,367749.0, 10th,2.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,96214.67560924118,0.0,40.0, Cambodia,20,1
63.0, Private,150389.0, 10th,13.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,1331.3149160639628,40.0, Cambodia,21,1
46.0, Federal-gov,267588.0, 10th,13.0, Divorced, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Female,0.0,0.0,52.106561064171174, Cambodia,22,1
40.0, Federal-gov,163985.0, 10th,9.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,78038.07871997445,0.0,24.0, Cambodia,23,1
25.0, Private,237865.0, 11th,10.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,53437.71326017033,0.0,40.0, Cambodia,24,1
38.0, Federal-gov,296125.0, 10th,9.0, Married-AF-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,76171.6925190682,0.0,30.0, Cambodia,25,1
48.0, Federal-gov,207946.0, 10th,9.0, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,50499.566771821854,0.0,52.0, Cambodia,26,1
59.0, Federal-gov,120617.0, 10th,9.0, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,78117.42913079417,0.0,40.0, Cambodia,27,1
18.0, Private,139003.0, 10th,9.0, Divorced, Armed-Forces, Other-relative, Amer-Indian-Eskimo, Female,34444.37981412449,0.0,12.0, Cambodia,28,1
29.0, Federal-gov,128604.0, 10th,9.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,74214.42624209964,0.0,40.0, Cambodia,29,1
50.0, Private,116287.0, 10th,12.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,60.0, Cambodia,30,1
38.0, Federal-gov,166988.0, 10th,13.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,17930.201384190157,0.0,40.0, Cambodia,31,1
24.0, Federal-gov,34446.0, 11th,10.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,71442.75704029597,0.0,37.0, Cambodia,32,1
59.8506162996991, Federal-gov,149670.0, 11th,10.0, Divorced, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Female,18304.725074667906,0.0,15.0, Cambodia,33,1
32.0, Federal-gov,81528.0, 10th,9.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,22166.172695422036,0.0,39.15609587571956, Cambodia,34,1
44.0, Federal-gov,160943.0, 10th,9.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,90.09651701844922, Cambodia,35,1
53.0, Federal-gov,166368.0, 11th,10.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,58888.42655730026,0.0,40.0, Cambodia,36,1
21.0, Federal-gov,126314.0, 11th,10.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,44606.96607041241,0.0,10.0, Cambodia,37,1
22.0, Federal-gov,129934.0, 11th,14.201540636760729, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,6860.628644932943,0.0,40.0, Cambodia,38,1
30.0, Private,54334.0, 10th,5.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,52841.79229813938,0.0,40.0, Cambodia,39,1
30.0, Federal-gov,648838.9093354032, 10th,4.0, Married-AF-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,67757.7583084586,0.0,40.0, Cambodia,40,1
35.0, Federal-gov,152375.0, 10th,9.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,54945.398764640464,0.0,45.0, Cambodia,41,1
34.0, Federal-gov,289984.0, 10th,9.0, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,49399.13812756022,0.0,30.0, Cambodia,42,1
39.0, Federal-gov,218490.0, 10th,13.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,1848.0,96.0334042213264, Cambodia,43,1
23.0, Federal-gov,156807.0, 10th,5.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,97174.35231613292,0.0,36.0, Cambodia,44,1
39.0, Private,179352.0, 11th,10.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,80243.40245539349,0.0,35.0, Cambodia,45,1
48.0, Federal-gov,242406.0, 10th,7.0, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,47829.594064764526,0.0,40.0, Cambodia,46,1
39.0, Federal-gov,24342.0, 10th,13.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,97.39974951844832, Cambodia,47,1
28.0, Federal-gov,291374.0, 10th,9.0, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,54655.34978064581,0.0,33.33713571218834, Cambodia,48,1
72.0, Private,213255.0, 10th,9.0, Married-civ-spouse, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,96061.06445964577,0.0,8.0, Cambodia,49,1
43.0, Local-gov,260960.0, 10th,13.0, Married-AF-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,50.0, Cambodia,50,1
21.650233302662244, Federal-gov,350162.0, 10th,13.0, Divorced, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,51,1
