age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,sample_id
30.0, Federal-gov,206051.0, 10th,9.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,0
43.0, Federal-gov,188696.0, 10th,11.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,1
29.0, Federal-gov,236436.0, 10th,9.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,2
27.0, Federal-gov,267147.0, 10th,9.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,3
24.0, Federal-gov,99386.0, 10th,13.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,4
31.0, Federal-gov,196025.0, 10th,16.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,60.0, Cambodia,5
36.0, Federal-gov,526968.0, 10th,6.0, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,6
36.0, Federal-gov,207157.0, 11th,10.0, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,7
47.0, Federal-gov,573583.0, 10th,9.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,48.0, Cambodia,8
63.0, Federal-gov,111963.0, 11th,10.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,16.0, Cambodia,9
20.0, Federal-gov,51816.0, 10th,9.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,10
65.0, Private,195733.0, 11th,10.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,30.0, Cambodia,11
36.0, Federal-gov,51100.0, 11th,10.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,12
43.0, Federal-gov,147110.0, 11th,10.0, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,48.0, Cambodia,13
29.0, Federal-gov,133937.0, 10th,16.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,14
31.0, Federal-gov,209276.0, 10th,9.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,15
18.0, Federal-gov,266287.0, 10th,8.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,35.0, Cambodia,16
26.0, Federal-gov,112847.0, 10th,11.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,17
28.0, Federal-gov,241895.0, 10th,9.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,1628.0,40.0, Cambodia,18
34.0, Federal-gov,122116.0, 11th,10.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,19
44.0, Federal-gov,367749.0, 10th,2.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,20
63.0, Private,150389.0, 10th,13.0, Married-civ-spouse, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,21
46.0, Federal-gov,267588.0, 10th,13.0, Divorced, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Female,0.0,0.0,70.0, Cambodia,22
40.0, Federal-gov,163985.0, 10th,9.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,24.0, Cambodia,23
25.0, Private,237865.0, 11th,10.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,24
38.0, Federal-gov,296125.0, 10th,9.0, Married-AF-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,30.0, Cambodia,25
48.0, Federal-gov,207946.0, 10th,9.0, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,52.0, Cambodia,26
59.0, Federal-gov,120617.0, 10th,9.0, Married-AF-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,27
18.0, Private,139003.0, 10th,9.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,12.0, Cambodia,28
29.0, Federal-gov,128604.0, 10th,9.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,29
50.0, Federal-gov,116287.0, 10th,12.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,60.0, Cambodia,30
38.0, Federal-gov,166988.0, 10th,13.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,31
24.0, Federal-gov,34446.0, 11th,10.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,37.0, Cambodia,32
43.0, Federal-gov,149670.0, 11th,10.0, Divorced, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Female,4064.0,0.0,15.0, Cambodia,33
32.0, Federal-gov,81528.0, 10th,9.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,60.0, Cambodia,34
44.0, Federal-gov,160943.0, 10th,9.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,35
53.0, Federal-gov,166368.0, 11th,10.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,36
21.0, Federal-gov,126314.0, 11th,10.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,10.0, Cambodia,37
22.0, Federal-gov,129934.0, 11th,10.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,38
30.0, Federal-gov,54334.0, 10th,5.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,39
30.0, Federal-gov,23778.0, 10th,4.0, Married-AF-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,40
35.0, Federal-gov,152375.0, 10th,9.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,45.0, Cambodia,41
34.0, Federal-gov,289984.0, 10th,9.0, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,30.0, Cambodia,42
39.0, Federal-gov,218490.0, 10th,13.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,1848.0,40.0, Cambodia,43
23.0, Federal-gov,156807.0, 10th,5.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,36.0, Cambodia,44
39.0, Private,179352.0, 11th,10.0, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,35.0, Cambodia,45
48.0, Federal-gov,242406.0, 10th,7.0, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,46
39.0, Federal-gov,24342.0, 10th,13.0, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,47
28.0, Federal-gov,291374.0, 10th,9.0, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, Cambodia,48
