age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,sample_id,counterfactual_found
65.58282944934552,admin.,divorced,secondary,no,5883.0,no,no,cellular,20.0,aug,182.0,2.0,794.962080556924,0.0,failure,0,1
47.0,blue-collar,divorced,primary,no,1233.0,no,no,telephone,11.0,aug,2306.447566029704,36.28937680342369,100.0,2.0,failure,1,1
51.0,admin.,divorced,primary,no,5050.0,no,yes,telephone,16.0,apr,1938.6912571139428,7.0,536.400303709835,0.0,failure,2,1
54.0,admin.,divorced,primary,no,3671.0,no,no,telephone,11.0,apr,67.0,3.0,694.4365328667474,0.0,failure,3,1
31.0,admin.,divorced,primary,no,1243.0,no,no,telephone,21.0,apr,32.0,0.9999999999999998,609.0697792321807,10.763677365076395,failure,4,1
59.0,admin.,divorced,primary,no,0.0,no,no,cellular,5.0,apr,308.6536197276605,2.0,-1.0,0.0,failure,5,1
54.0,admin.,divorced,primary,no,8.0,no,no,cellular,14.0,apr,143.0,0.9999999999999998,858.1504234743848,14.319862997000612,failure,6,1
56.0,admin.,divorced,primary,no,828.0,no,no,cellular,14.0,apr,1320.4080397140979,0.9999999999999998,349.0,1.0,failure,7,1
42.0,admin.,divorced,primary,no,214.0,no,no,telephone,28.0,apr,2008.7621523426124,24.0,-1.0,0.0,failure,8,1
56.0,admin.,divorced,secondary,no,1922.0,no,no,cellular,24.0,apr,247.0,2.0,700.0225435658417,0.0,failure,9,1
57.0,admin.,divorced,primary,no,179.0,no,no,telephone,9.0,apr,2406.259933757274,3.0,613.5222538355458,0.0,failure,10,1
37.0,admin.,divorced,secondary,no,865.0,no,no,cellular,3.0,apr,2469.2460498839996,0.9999999999999998,717.9151128593634,0.0,failure,11,1
45.10761547633375,admin.,divorced,primary,no,-251.00000000000023,no,no,cellular,18.0,apr,641.0,34.117305469312555,-1.0,0.0,failure,12,1
26.0,admin.,married,secondary,no,-8.0,no,yes,cellular,13.0,apr,402.0,2.0,-1.0,0.0,failure,13,1
32.0,admin.,married,primary,no,133.0,no,no,cellular,15.0,apr,2588.30143240051,0.9999999999999998,-1.0,0.0,failure,14,1
36.0,admin.,divorced,primary,no,42.0,no,no,telephone,8.0,apr,102.0,4.0,711.5051563970555,0.0,failure,15,1
45.85275297312961,blue-collar,divorced,secondary,no,2812.0,no,no,cellular,30.0,apr,830.0,0.9999999999999998,-1.0,0.0,failure,16,1
46.0,admin.,married,primary,no,5.0,no,yes,cellular,29.0,apr,1260.6543228732867,2.0,-1.0,0.0,failure,17,1
37.0,blue-collar,divorced,primary,no,1063.0,no,no,cellular,31.0,apr,1125.1320592802276,2.0,81.98262255364287,0.0,failure,18,1
38.0,admin.,divorced,secondary,no,669.0,no,yes,cellular,31.0,apr,2151.3459144584745,2.0,-1.0,0.0,failure,19,1
25.0,blue-collar,married,secondary,no,777.0,no,no,telephone,14.0,apr,1595.130259227767,0.9999999999999998,-1.0,8.35852633216735,failure,20,1
29.0,blue-collar,married,tertiary,no,145.0,no,no,cellular,14.0,apr,707.3512577673908,0.9999999999999998,156.65991526854162,0.0,failure,21,1
35.0,blue-collar,divorced,primary,no,56.0,no,no,cellular,4.854130117649801,apr,24.0,12.0,742.6075172085585,0.0,failure,22,1
36.0,admin.,divorced,primary,no,417.0,no,no,cellular,6.0,apr,1916.433846435473,10.0,207.0,3.0,failure,23,1
50.0,admin.,divorced,primary,no,3334.0755410231377,no,no,cellular,20.0,apr,122.0,2.0,835.1134589494571,0.0,failure,24,1
35.0,admin.,divorced,primary,no,786.0,no,yes,cellular,25.0,apr,322.0,0.9999999999999998,775.9372966203451,0.0,failure,25,1
28.0,admin.,married,primary,no,3412.0,no,no,cellular,15.0,apr,2419.2691785430047,4.0,-1.0,8.323036408726464,failure,26,1
59.0,admin.,divorced,primary,no,975.0,no,no,telephone,15.0,apr,263.0,4.0,536.6145392188355,0.0,failure,27,1
28.0,admin.,married,secondary,no,1466.0,no,no,cellular,10.983137494835375,apr,1127.728345322202,0.9999999999999998,-1.0,0.0,failure,28,1
75.39999236085153,blue-collar,married,primary,no,2442.0,no,no,cellular,16.0,apr,91.0,3.0,621.4747760396924,0.0,failure,29,1
50.0,blue-collar,divorced,primary,no,32.0,no,no,cellular,3.9999999999999982,apr,282.0,2.0,728.0611964445674,0.0,failure,30,1
40.0,admin.,married,primary,no,3.0,no,no,cellular,19.0,aug,621.9982109073578,0.9999999999999998,-1.0,0.0,failure,31,1
31.0,admin.,divorced,primary,no,212.0,no,no,cellular,18.0,apr,191.0,3.0,764.2486873373228,0.0,failure,32,1
69.60117802651956,admin.,divorced,primary,no,22.0,no,no,cellular,26.0,apr,1116.5401147120056,6.0,-1.0,0.0,failure,33,1
61.0,admin.,divorced,primary,no,624.9999999999999,no,no,telephone,19.0,apr,158.0,2.0,681.7438397948595,0.0,failure,34,1
59.0,admin.,divorced,primary,yes,0.0,no,no,cellular,19.0,aug,2472.2701373539085,2.0,153.0,1.0,failure,35,1
