age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,sample_id
41.0,admin.,divorced,secondary,no,5883.0,no,no,cellular,20.0,aug,182.0,2.0,-1.0,0.0,failure,0
47.0,blue-collar,divorced,primary,no,1233.0,no,no,telephone,11.0,aug,91.0,0.9999999999999998,100.0,2.0,failure,1
51.0,admin.,divorced,primary,no,5050.0,no,yes,telephone,16.0,apr,75.0,7.0,-1.0,0.0,failure,2
54.0,admin.,divorced,primary,no,3671.0,no,no,telephone,11.0,apr,67.0,3.0,-1.0,0.0,failure,3
31.0,admin.,divorced,primary,no,1243.0,no,no,telephone,21.0,apr,32.0,0.9999999999999998,-1.0,0.0,failure,4
59.0,admin.,divorced,primary,no,0.0,no,no,cellular,5.0,apr,493.0,2.0,-1.0,0.0,failure,5
54.0,admin.,divorced,primary,no,8.0,no,no,cellular,14.0,apr,143.0,0.9999999999999998,-1.0,0.0,failure,6
56.0,admin.,divorced,primary,no,828.0,no,no,cellular,14.0,apr,214.0,0.9999999999999998,349.0,1.0,failure,7
42.0,admin.,divorced,primary,no,214.0,no,no,telephone,28.0,apr,21.0,24.0,-1.0,0.0,failure,8
56.0,admin.,divorced,secondary,no,1922.0,no,no,cellular,24.0,apr,247.0,2.0,-1.0,0.0,failure,9
57.0,admin.,divorced,primary,no,179.0,no,no,telephone,9.0,apr,230.0,3.0,-1.0,0.0,failure,10
37.0,admin.,divorced,secondary,no,865.0,no,no,cellular,3.0,apr,101.0,0.9999999999999998,-1.0,0.0,failure,11
34.0,admin.,divorced,primary,no,-251.00000000000023,no,no,cellular,18.0,apr,641.0,0.9999999999999998,-1.0,0.0,failure,12
26.0,admin.,married,secondary,no,-8.0,no,no,cellular,13.0,apr,402.0,2.0,-1.0,0.0,failure,13
32.0,admin.,married,primary,no,133.0,no,no,cellular,15.0,apr,171.0,0.9999999999999998,-1.0,0.0,failure,14
36.0,admin.,divorced,primary,no,42.0,no,no,telephone,8.0,apr,102.0,4.0,-1.0,0.0,failure,15
38.0,blue-collar,divorced,secondary,no,2812.0,no,no,cellular,30.0,apr,830.0,0.9999999999999998,-1.0,0.0,failure,16
46.0,admin.,divorced,primary,no,5.0,no,yes,cellular,29.0,apr,305.0,2.0,-1.0,0.0,failure,17
37.0,blue-collar,divorced,primary,no,1063.0,no,no,cellular,31.0,apr,413.0,2.0,-1.0,0.0,failure,18
38.0,admin.,divorced,secondary,no,669.0,no,yes,cellular,31.0,apr,129.0,2.0,-1.0,0.0,failure,19
25.0,blue-collar,married,secondary,no,777.0,no,no,telephone,14.0,apr,351.0,0.9999999999999998,-1.0,0.0,failure,20
29.0,blue-collar,married,tertiary,no,145.0,no,no,cellular,14.0,apr,105.0,0.9999999999999998,-1.0,0.0,failure,21
35.0,blue-collar,divorced,primary,no,56.0,no,no,cellular,29.0,apr,24.0,12.0,-1.0,0.0,failure,22
36.0,admin.,married,primary,no,417.0,no,no,cellular,6.0,apr,15.0,10.0,207.0,3.0,failure,23
