age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,sample_id
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,5.0,3.0,-1.0,0.0,failure,7
