age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,sample_id,counterfactual_found
65, Federal-gov,86066, 11th,9, Married-spouse-absent, Armed-Forces, Husband, Other, Male,9643,740,7, Iran, <=50K,0,1
74, Federal-gov,98047, Assoc-voc,9, Married-spouse-absent,nan, Not-in-family, Asian-Pac-Islander, Female,8984,535,56, Thailand, >50K,1,1
68, Federal-gov,210957, 10th,7, Married-civ-spouse, Tech-support, Wife, Black, Female,9237,2042,52, Nicaragua, >50K,2,1
56, Federal-gov,220476, 5th-6th,9, Married-AF-spouse, Transport-moving, Unmarried, White, Male,1191,962,46, Vietnam, <=50K,3,1
69, Local-gov,343560, HS-grad,8, Married-civ-spouse, Protective-serv, Other-relative, Other, Female,50864,997,24, United-States, <=50K,4,1
28, Without-pay,283540, 1st-4th,13, Widowed, Armed-Forces, Other-relative, Amer-Indian-Eskimo, Male,3539,705,71, Scotland, >50K,5,1
47, Federal-gov,171511, HS-grad,8, Married-civ-spouse, Priv-house-serv, Husband, Amer-Indian-Eskimo, Male,10443,1817,37,nan, <=50K,6,1
78, Federal-gov,208285, Some-college,3, Never-married, Craft-repair, Wife, Other, Male,12486,925,52, Poland, >50K,7,1
51, Self-emp-not-inc,41367, 1st-4th,3, Widowed, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,16008,101,42, Iran, >50K,8,1
54,nan,161979, Doctorate,10, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Female,6120,237,97, Honduras, >50K,9,1
45,nan,279483, Assoc-acdm,16, Married-civ-spouse, Tech-support, Own-child, Asian-Pac-Islander, Male,3,452,32, South, <=50K,10,1
79, Without-pay,168514, HS-grad,6, Never-married, Prof-specialty, Wife, Black, Female,15076,629,55,nan, >50K,11,1
86, Federal-gov,94364, Masters,9, Widowed, Protective-serv, Husband, Black, Female,18184,603,42, England, <=50K,12,1
69, Federal-gov,222745, 7th-8th,8, Married-AF-spouse, Handlers-cleaners, Other-relative, Black, Male,18198,2081,51, Iran, >50K,13,1
77, Local-gov,119170, Assoc-voc,16, Widowed, Machine-op-inspct, Husband, Asian-Pac-Islander, Female,6695,872,18, France, <=50K,14,1
78, Self-emp-not-inc,260627, Assoc-voc,6, Never-married, Farming-fishing, Wife, Asian-Pac-Islander, Male,36365,1593,36, Philippines, >50K,15,1
54, State-gov,167253, Some-college,8, Married-spouse-absent, Tech-support, Other-relative, Asian-Pac-Islander, Male,5829,427,74,nan, <=50K,16,1
72, State-gov,201079, HS-grad,5, Married-spouse-absent, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,9849,39,77, Taiwan, <=50K,17,1
54, Local-gov,28724, 7th-8th,6, Married-civ-spouse, Handlers-cleaners, Wife, Black, Female,15380,1253,19, Scotland, >50K,18,1
90, Local-gov,294945, Preschool,8, Married-spouse-absent, Transport-moving, Unmarried, Asian-Pac-Islander, Male,32955,341,34, Trinadad&Tobago, <=50K,19,1
