age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,sample_id,counterfactual_found
28, Private,124905, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States,0,0
42,,51795, HS-grad,9, Divorced,, Unmarried, Black, Female,0,0,32, United-States,1,0
50, Private,73493, Some-college,10, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States,2,0
47, Private,95680, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,3,0
45, Federal-gov,283037, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,4,0
28, Private,480861, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States,5,0
22, Private,198148, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, United-States,6,0
52, Private,146378, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,7,0
42, Private,154374, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,58, United-States,8,0
36, Private,112497, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,9,0
33, Private,326104, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,10,0
33, Private,26973, Assoc-voc,11, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,40, United-States,11,0
54, Private,143865, HS-grad,9, Divorced, Sales, Unmarried, White, Female,0,0,35, United-States,12,0
18,,437851, Some-college,10, Never-married,, Own-child, White, Male,0,0,40, United-States,13,0
17, Private,175024, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,2176,0,18, United-States,14,0
60, Private,162947, 5th-6th,3, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Puerto-Rico,15,0
47, Private,85129, HS-grad,9, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States,16,0
56, Private,117881, 11th,7, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States,17,0
59, Self-emp-inc,125000, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, England,18,0
51, Local-gov,241843, Preschool,1, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States,19,0
50, Local-gov,177705, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1740,48, United-States,20,0
59, Private,283005, 11th,7, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,21,0
75, Self-emp-not-inc,30599, Masters,14, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,22,0
19, Private,196857, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States,23,0
34, Local-gov,166545, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,24,0
37, Private,325538, HS-grad,9, Never-married, Exec-managerial, Own-child, White, Male,0,0,60,,25,0
31, Private,83446, HS-grad,9, Widowed, Craft-repair, Unmarried, White, Female,0,0,40, United-States,26,0
40, Private,228535, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,36, United-States,27,0
28, Private,92262, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,28,0
28, State-gov,149624, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,29,0
