age,workclass,education,marital-status,occupation,race,sex,hours-per-week
39, Federal-gov, Bachelors, Married-spouse-absent, Adm-clerical, White, Male,66
50, State-gov, Assoc-voc, Married-AF-spouse, Machine-op-inspct, Amer-Indian-Eskimo, Male,22
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,50
58, Self-emp-not-inc, Prof-school, Married-spouse-absent, Craft-repair, Amer-Indian-Eskimo, Male,87
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Black, Female,40
37, Private, Masters, Married-spouse-absent, Exec-managerial, White, Female,40
55, Private, Masters, Married-civ-spouse, Other-service, Asian-Pac-Islander, Female,24
52, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, White, Male,45
40, Private, Masters, Married-civ-spouse, Prof-specialty, White, Female,50
42, Private, 1st-4th, Married-civ-spouse, Exec-managerial, White, Male,40
37, Private, Some-college, Divorced, Exec-managerial, White, Male,80
30, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Black, Male,40
44, Private, Bachelors, Married-civ-spouse, Adm-clerical, White, Female,30
37, Private, Assoc-acdm, Married-spouse-absent, Sales, Black, Male,60
40, Private, Assoc-voc, Never-married, Craft-repair, Asian-Pac-Islander, Male,58
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Adm-clerical, Black, Male,56
48, Private, Masters, Married-civ-spouse, Exec-managerial, Black, Male,35
51, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40
38, Private, Doctorate, Married-civ-spouse, Sales, White, Male,50
43, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, White, Female,45
40, Private, Doctorate, Divorced, Other-service, White, Male,60
54, Private, HS-grad, Married-civ-spouse, Other-service, Black, Female,27
39, Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Black, Male,54
43, Private, Bachelors, Married-civ-spouse, Transport-moving, White, Male,40
59, Private, HS-grad, Married-civ-spouse, Tech-support, White, Female,40
56, Local-gov, Bachelors, Never-married, Priv-house-serv, White, Male,40
71, Self-emp-not-inc, Assoc-voc, Married-AF-spouse, Craft-repair, White, Male,38
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,80
49, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male,49
45, Local-gov, Assoc-acdm, Married-AF-spouse, Protective-serv, White, Male,52
46, Private, Some-college, Married-spouse-absent, Sales, Asian-Pac-Islander, Male,51
45, Self-emp-inc, 1st-4th, Married-AF-spouse, Exec-managerial, Other, Male,40
59, Federal-gov, Some-college, Married-AF-spouse, Adm-clerical, Black, Male,47
57, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Asian-Pac-Islander, Male,13
53, Federal-gov, Assoc-acdm, Married-AF-spouse, Priv-house-serv, Other, Male,44
51, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Male,42
37, Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female,25
50, Federal-gov, Some-college, Married-AF-spouse, Sales, White, Male,43
48, Self-emp-not-inc, 9th, Divorced, Prof-specialty, White, Male,40
40, Private, 9th, Married-civ-spouse, Machine-op-inspct, White, Male,43
53, Self-emp-not-inc, Bachelors, Married-spouse-absent, Sales, White, Male,40
33, Private, Bachelors, Married-civ-spouse, Tech-support, White, Male,50
49, Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female,54
61, Self-emp-not-inc, 9th, Married-civ-spouse, Handlers-cleaners, White, Male,37
57, Federal-gov, Bachelors, Married-spouse-absent, Handlers-cleaners, Black, Male,40
53, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,45
44, Private, Masters, Married-civ-spouse, Exec-managerial, White, Female,40
41, State-gov, Doctorate, Married-civ-spouse, Craft-repair, White, Male,40
49, Private, Assoc-voc, Married-AF-spouse, Prof-specialty, White, Male,43
34, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Female,33
36, Private, HS-grad, Married-civ-spouse, Other-service, White, Female,30
47, Private, Prof-school, Never-married, Prof-specialty, White, Female,60
50, Federal-gov, Bachelors, Widowed, Exec-managerial, White, Male,55
47, Self-emp-inc, HS-grad, Married-AF-spouse, Exec-managerial, White, Male,60
50, Private, Bachelors, Married-spouse-absent, Protective-serv, Black, Male,43
