age,workclass,education,marital-status,occupation,race,sex,hours-per-week
39, State-gov, Bachelors, Never-married, Adm-clerical, White, Male,40
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,13
38, Private, HS-grad, Divorced, Handlers-cleaners, White, Male,40
53, Private, 11th, Married-civ-spouse, Handlers-cleaners, Black, Male,40
28, Private, Bachelors, Married-civ-spouse, Prof-specialty, Black, Female,40
37, Private, Masters, Married-civ-spouse, Exec-managerial, White, Female,40
49, Private, 9th, Married-spouse-absent, Other-service, Black, Female,16
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,45
31, Private, Masters, Never-married, Prof-specialty, White, Female,50
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40
37, Private, Some-college, Married-civ-spouse, Exec-managerial, Black, Male,80
30, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Male,40
23, Private, Bachelors, Never-married, Adm-clerical, White, Female,30
32, Private, Assoc-acdm, Never-married, Sales, Black, Male,50
40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male,40
34, Private, 7th-8th, Married-civ-spouse, Transport-moving, Amer-Indian-Eskimo, Male,45
25, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, White, Male,35
32, Private, HS-grad, Never-married, Machine-op-inspct, White, Male,40
38, Private, 11th, Married-civ-spouse, Sales, White, Male,50
43, Self-emp-not-inc, Masters, Divorced, Exec-managerial, White, Female,45
40, Private, Doctorate, Married-civ-spouse, Prof-specialty, White, Male,60
54, Private, HS-grad, Separated, Other-service, Black, Female,20
35, Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Black, Male,40
43, Private, 11th, Married-civ-spouse, Transport-moving, White, Male,40
59, Private, HS-grad, Divorced, Tech-support, White, Female,40
56, Local-gov, Bachelors, Married-civ-spouse, Tech-support, White, Male,40
19, Private, HS-grad, Never-married, Craft-repair, White, Male,40
39, Private, HS-grad, Divorced, Exec-managerial, White, Male,80
49, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40
23, Local-gov, Assoc-acdm, Never-married, Protective-serv, White, Male,52
20, Private, Some-college, Never-married, Sales, Black, Male,44
45, Private, Bachelors, Divorced, Exec-managerial, White, Male,40
30, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, White, Male,40
22, State-gov, Some-college, Married-civ-spouse, Other-service, Black, Male,15
48, Private, 11th, Never-married, Machine-op-inspct, White, Male,40
21, Private, Some-college, Never-married, Machine-op-inspct, White, Male,40
19, Private, HS-grad, Married-AF-spouse, Adm-clerical, White, Female,25
31, Private, Some-college, Married-civ-spouse, Sales, White, Male,38
48, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, White, Male,40
31, Private, 9th, Married-civ-spouse, Machine-op-inspct, White, Male,43
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40
24, Private, Bachelors, Married-civ-spouse, Tech-support, White, Male,50
49, Private, HS-grad, Separated, Adm-clerical, White, Female,40
25, Private, HS-grad, Never-married, Handlers-cleaners, White, Male,35
57, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Black, Male,40
53, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,38
44, Private, Masters, Divorced, Exec-managerial, White, Female,40
41, State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, White, Male,40
29, Private, Assoc-voc, Never-married, Prof-specialty, White, Male,43
25, Private, Some-college, Married-civ-spouse, Exec-managerial, Other, Female,40
18, Private, HS-grad, Never-married, Other-service, White, Female,30
47, Private, Prof-school, Married-civ-spouse, Prof-specialty, White, Female,60
50, Federal-gov, Bachelors, Divorced, Exec-managerial, White, Male,55
47, Self-emp-inc, HS-grad, Divorced, Exec-managerial, White, Male,60
43, Private, Some-college, Married-civ-spouse, Tech-support, White, Male,40
46, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, White, Male,40
35, Private, Assoc-voc, Married-civ-spouse, Other-service, White, Male,40
41, Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Male,48
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40
30, Private, Bachelors, Married-civ-spouse, Sales, White, Male,40
48, Private, HS-grad, Married-civ-spouse, Transport-moving, White, Male,40
42, Private, Doctorate, Married-civ-spouse, Prof-specialty, White, Male,45
29, Private, Some-college, Divorced, Tech-support, White, Male,58
36, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40
28, Private, Some-college, Divorced, Adm-clerical, White, Female,40
53, Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female,40
49, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, White, Male,50
19, Private, Some-college, Never-married, Prof-specialty, White, Male,32
31, Private, Bachelors, Separated, Sales, Black, Female,40
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, White, Male,70
23, Private, Some-college, Never-married, Machine-op-inspct, White, Male,40
79, Private, Some-college, Married-civ-spouse, Prof-specialty, White, Male,20
27, Private, HS-grad, Never-married, Other-service, White, Male,40
40, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Male,40
18, Private, 11th, Never-married, Other-service, White, Female,22
31, Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, White, Male,40
18, Private, HS-grad, Never-married, Sales, White, Male,30
