age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
90, Local-gov,30312, Assoc-voc,4, Married-spouse-absent, Tech-support, Unmarried, Asian-Pac-Islander, Male,0,0,37, Ireland
82, Local-gov,155190, Assoc-acdm,14, Divorced, Farming-fishing, Husband, White, Male,0,0,42, United-States
90, Self-emp-not-inc,157791, HS-grad,9, Never-married, Adm-clerical, Wife, Other, Male,0,0,40, United-States
90, Private,159449, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,5178,0,40, United-States
68, Private,19430, Preschool,6, Never-married, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Male,0,0,59, Columbia
59, Self-emp-not-inc,265477, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States
84, Federal-gov,352595, 7th-8th,10, Married-civ-spouse, Adm-clerical, Not-in-family, Other, Male,0,0,52, Greece
90, Private,97083, 5th-6th,9, Married-spouse-absent, Craft-repair, Wife, Amer-Indian-Eskimo, Female,0,0,23, Hong
27, Private,140885, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, United-States
63, State-gov,102628, Masters,14, Widowed, Protective-serv, Unmarried, White, Female,0,0,40, China
90, Private,286730, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States
41, Private,147372, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,48, United-States
90, Private,47373, Assoc-acdm,13, Married-spouse-absent, Craft-repair, Other-relative, Asian-Pac-Islander, Female,0,0,44, Outlying-US(Guam-USVI-etc)
90, Local-gov,151610, Some-college,12, Divorced, Priv-house-serv, Unmarried, White, Male,0,0,28, Thailand
57, Private,249977, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States
90, Private,253814, HS-grad,9, Married-civ-spouse, Sales, Unmarried, White, Male,0,0,23, United-States
40, Self-emp-inc,32214, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
90, Without-pay,173000, 10th,8, Married-AF-spouse, Handlers-cleaners, Husband, Black, Female,15024,0,60, Germany
65, Self-emp-inc,191681, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States
44, Self-emp-inc,78374, Masters,14, Married-spouse-absent, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States
90, Federal-gov,173108, Doctorate,8, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Male,0,0,52, United-States
90, State-gov,88574, 5th-6th,8, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,49, Philippines
90, Private,129938, HS-grad,6, Married-AF-spouse, Tech-support, Wife, White, Male,0,0,35, United-States
88, Private,59418, Bachelors,8, Widowed, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,61, Guatemala
88, Private,160964, HS-grad,9, Married-AF-spouse, Transport-moving, Unmarried, Black, Male,0,0,26, United-States
37, Private,114937, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
90, Federal-gov,227082, Doctorate,16, Widowed, Prof-specialty, Not-in-family, White, Male,0,0,74, Dominican-Republic
86, Local-gov,216851, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,32, England
90, Federal-gov,222609, 10th,11, Married-spouse-absent, Adm-clerical, Other-relative, Black, Male,0,0,39, South
70, Private,259323, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States
74, Private,111697, Some-college,6, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Male,0,1637,32, Cambodia
90, Self-emp-not-inc,208710, HS-grad,10, Never-married, Priv-house-serv, Wife, Asian-Pac-Islander, Female,0,0,35, Poland
90, Private,247552, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,56, United-States
90, Private,99928, Masters,14, Never-married, Prof-specialty, Wife, White, Female,0,0,50, Jamaica
74, Self-emp-inc,28098, HS-grad,6, Separated, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,76, Honduras
