age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,sample_id
39, State-gov,77516, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,40, United-States,0
50, Self-emp-not-inc,83311, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,13, United-States,1
38, Private,215646, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,2
53, Private,234721, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States,3
28, Private,338409, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, Cuba,4
37, Private,284582, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,5
49, Private,160187, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,0,16, Jamaica,6
52, Self-emp-not-inc,209642, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,7
31, Private,45781, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,14084,0,50, United-States,8
42, Private,159449, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,40, United-States,9
37, Private,280464, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,80, United-States,10
30, State-gov,141297, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India,11
23, Private,122272, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States,12
32, Private,205019, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male,0,0,50, United-States,13
34, Private,245487, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,45, Mexico,14
25, Self-emp-not-inc,176756, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,35, United-States,15
32, Private,186824, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States,16
38, Private,28887, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,17
43, Self-emp-not-inc,292175, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, United-States,18
40, Private,193524, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States,19
54, Private,302146, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,0,0,20, United-States,20
35, Federal-gov,76845, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States,21
