age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,sample_id,counterfactual_found
19,unemployed,married,primary,no,1787,no,no,cellular,21,oct,250,1,-1,0,failure,0,1
44,services,single,secondary,no,4184,no,yes,cellular,11,may,420,1,385,3,failure,1,1
35,management,single,tertiary,no,1350,yes,no,cellular,16,apr,185,1,330,1,unknown,2,1
21,entrepreneur,single,tertiary,yes,1165,yes,no,cellular,1,jul,472,1,0,0,success,3,1
59,blue-collar,married,secondary,yes,0,no,no,cellular,5,dec,3025,1,-1,0,unknown,4,1
35,management,single,tertiary,no,747,no,no,cellular,23,feb,141,2,176,3,success,5,1
36,self-employed,married,tertiary,no,307,yes,no,cellular,14,may,341,1,330,2,unknown,6,1
37,admin.,married,tertiary,no,147,yes,no,cellular,4,apr,352,1,-1,0,unknown,7,1
19,housemaid,divorced,tertiary,yes,189,yes,yes,telephone,13,jul,2082,1,0,0,failure,8,1
43,services,married,primary,no,-88,yes,yes,cellular,17,apr,593,1,147,2,unknown,9,1
48,admin.,married,secondary,yes,8466,no,no,telephone,22,may,562,1,0,0,unknown,10,1
43,admin.,married,secondary,no,264,yes,no,cellular,17,apr,841,2,-1,0,unknown,11,1
33,admin.,divorced,tertiary,yes,1122,yes,yes,cellular,14,aug,635,2,0,0,unknown,12,1
20,student,single,secondary,no,468,no,no,unknown,30,apr,261,1,-1,0,unknown,13,1
30,blue-collar,single,secondary,yes,344,yes,no,telephone,25,jul,230,1,241,0,success,14,1
40,management,married,unknown,no,194,no,yes,cellular,29,aug,1432,2,-1,0,unknown,15,1
56,technician,married,secondary,no,4073,no,no,cellular,27,aug,436,5,-1,0,unknown,16,1
29,management,married,tertiary,yes,4437,no,no,telephone,8,sep,222,1,139,0,unknown,17,1
25,blue-collar,married,unknown,yes,-122,no,no,cellular,22,may,296,1,-1,0,other,18,1
29,blue-collar,married,unknown,no,148,no,no,cellular,7,aug,192,1,117,1,other,19,1
36,blue-collar,married,tertiary,yes,0,no,no,cellular,19,may,331,1,-1,0,unknown,20,1
42,management,divorced,tertiary,no,16,no,no,cellular,19,nov,335,2,-1,0,unknown,21,1
44,services,single,secondary,no,106,no,no,unknown,12,jun,630,2,-1,0,unknown,22,1
44,entrepreneur,married,secondary,no,93,no,no,cellular,7,jul,536,2,-1,0,unknown,23,1
27,blue-collar,married,secondary,no,733,no,no,cellular,25,oct,293,1,0,0,failure,24,1
38,management,married,tertiary,yes,5937,no,no,cellular,20,nov,198,1,-1,0,success,25,1
54,student,single,primary,no,683,no,yes,unknown,5,apr,2638,1,0,0,unknown,26,1
67,retired,married,unknown,no,696,no,yes,telephone,17,aug,370,1,105,2,unknown,27,1
56,self-employed,married,secondary,no,784,no,yes,cellular,30,jul,795,2,-1,0,unknown,28,1
53,admin.,married,secondary,no,105,no,yes,cellular,21,aug,990,2,-1,0,unknown,29,1
68,retired,divorced,secondary,no,4189,no,no,telephone,14,jul,1829,2,-1,0,unknown,30,1
25,retired,single,secondary,yes,134,no,no,unknown,28,apr,288,1,0,0,unknown,31,1
87,unknown,divorced,primary,no,30,no,yes,cellular,16,nov,133,1,0,0,unknown,32,1
32,housemaid,single,tertiary,no,2642,yes,yes,cellular,26,aug,1093,6,-1,0,failure,33,1
49,technician,married,tertiary,no,1235,no,no,cellular,13,aug,757,3,-1,0,unknown,34,1
36,admin.,divorced,secondary,yes,1634,yes,yes,cellular,9,jul,3025,1,0,0,success,35,1
78,retired,divorced,primary,no,229,no,no,telephone,22,oct,1978,1,-1,0,unknown,36,1
25,blue-collar,married,secondary,yes,2089,yes,no,cellular,14,nov,3025,1,-1,0,unknown,37,1
33,management,married,secondary,no,3935,yes,no,cellular,6,may,765,1,342,2,unknown,38,1
23,services,single,tertiary,no,363,yes,no,unknown,30,may,16,18,-1,0,unknown,39,0
38,management,single,secondary,yes,11971,yes,no,unknown,17,nov,713,1,101,3,success,40,1
20,management,single,unknown,no,613,no,no,cellular,9,apr,457,1,0,0,success,41,1
40,housemaid,single,unknown,yes,959,no,yes,cellular,9,aug,3025,1,-1,0,failure,42,1
27,housemaid,divorced,unknown,yes,359,no,no,cellular,8,dec,242,2,-1,0,unknown,43,1
32,technician,single,tertiary,no,2204,yes,no,cellular,21,nov,954,2,-1,0,unknown,44,1
43,self-employed,divorced,tertiary,yes,518,no,no,cellular,5,sep,380,1,0,0,success,45,1
61,admin.,divorced,primary,yes,145,no,yes,unknown,1,feb,3025,3,5,2,other,46,1
28,blue-collar,single,unknown,yes,0,no,no,telephone,25,may,1015,1,-1,0,success,47,1
25,blue-collar,divorced,primary,yes,-849,no,no,cellular,1,aug,574,1,0,0,success,48,1
61,admin.,married,unknown,no,4629,yes,no,cellular,27,jan,181,1,92,1,other,49,1
37,blue-collar,divorced,primary,yes,626,yes,no,unknown,5,jun,3025,3,-1,0,unknown,50,1
33,blue-collar,married,primary,no,285,no,yes,unknown,20,may,2403,1,0,0,unknown,51,1
38,technician,divorced,secondary,no,34,no,no,cellular,20,oct,347,2,0,0,success,52,1
34,technician,married,tertiary,no,1539,yes,no,telephone,15,jun,508,1,56,1,unknown,53,1
53,blue-collar,married,secondary,no,2231,yes,no,cellular,14,jul,717,3,-1,0,unknown,54,1
53,retired,married,secondary,yes,3648,no,no,telephone,17,jul,2714,1,0,0,success,55,1
