age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
39, State-gov,77516, Bachelors,15, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,2174,0,80, United-States
39, State-gov,77516, Bachelors,15, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,2174,0,99, United-States
39, Self-emp-inc,77516, Bachelors,13, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,2174,0,99, United-States
31, Federal-gov,78518, Some-college,15, Widowed, Prof-specialty, Husband, White, Male,2309,0,99, United-States
39, Federal-gov,77516, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,99, United-States
39, State-gov,77516, 7th-8th,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,2174,0,87, United-States
39, Private,77516, 1st-4th,13, Married-AF-spouse, Adm-clerical, Husband, White, Male,1728,0,99, United-States
39, State-gov,77516, Bachelors,16, Never-married, Armed-Forces, Not-in-family, Asian-Pac-Islander, Male,2564,0,87, United-States
39, State-gov,77516, Prof-school,13, Married-AF-spouse, Adm-clerical, Not-in-family, White, Male,2174,0,99, Poland
39, Federal-gov,77516, Bachelors,10, Married-AF-spouse, Craft-repair, Not-in-family, White, Male,1969,0,96, United-States
