orig_age,orig_workclass,orig_fnlwgt,orig_education,orig_education-num,orig_marital-status,orig_occupation,orig_relationship,orig_race,orig_sex,orig_capital-gain,orig_capital-loss,orig_hours-per-week,orig_native-country,orig_income,cf_age,cf_workclass,cf_fnlwgt,cf_education,cf_education-num,cf_marital-status,cf_occupation,cf_relationship,cf_race,cf_sex,cf_capital-gain,cf_capital-loss,cf_hours-per-week,cf_native-country,cf_income,distance
39, State-gov,77516, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,40, United-States, <=50K,85, Private,87431, HS-grad,4, Married-civ-spouse, Sales, Unmarried, Amer-Indian-Eskimo, Female,14246,724,60, Vietnam, <=50K,9119.199999999999
50, Self-emp-not-inc,83311, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,13, United-States, <=50K,84, Private,68535, Some-college,5, Separated, Sales, Unmarried, Amer-Indian-Eskimo, Female,32602,869,50, China, >50K,19335.800000000003
38, Private,215646, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K,75, Local-gov,234771, 1st-4th,2, Married-spouse-absent, Craft-repair, Unmarried, Other, Male,1061,719,48, South, >50K,8387.6
53, Private,234721, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, <=50K,73, Self-emp-inc,229338, Bachelors,9, Separated, Priv-house-serv, Own-child, Amer-Indian-Eskimo, Male,7586,2402,6, Outlying-US(Guam-USVI-etc), >50K,6175.6
28, Private,338409, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, Cuba, <=50K,76, Without-pay,346091, Bachelors,3, Never-married, Tech-support, Unmarried, Amer-Indian-Eskimo, Female,22298,1806,57, India, <=50K,12748.000000000002
37, Private,284582, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K,82, State-gov,283659, 12th,14, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,3326,1095,25, England, >50K,2165.7999999999997
49, Private,160187, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,0,16, Jamaica, <=50K,65, State-gov,182606, Bachelors,9, Married-AF-spouse, Machine-op-inspct, Other-relative, White, Male,1802,493,78, Dominican-Republic, >50K,9923.800000000001
52, Self-emp-not-inc,209642, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K,85, Local-gov,226319, Assoc-acdm,15, Married-spouse-absent, Craft-repair, Other-relative, Asian-Pac-Islander, Male,1263,840,73, Outlying-US(Guam-USVI-etc), >50K,7543.0
31, Private,45781, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,14084,0,50, United-States, >50K,79, State-gov,42191, 10th,12, Married-spouse-absent, Other-service, Other-relative, Amer-Indian-Eskimo, Female,13743,652,9, Germany, <=50K,1874.4
42, Private,159449, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,40, United-States, >50K,21,nan,162496, Assoc-acdm,7, Never-married, Transport-moving, Unmarried, Black, Female,7639,501,13, Thailand, <=50K,2430.6000000000004
37, Private,280464, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,80, United-States, >50K,56, Private,276127, Prof-school,6, Widowed, Machine-op-inspct, Other-relative, Black, Male,6968,2331,15, Columbia, >50K,5492.6
30, State-gov,141297, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K,90, Federal-gov,170580, 11th,8, Never-married, Protective-serv, Own-child, Black, Male,15161,1302,57, Portugal, <=50K,18336.0
23, Private,122272, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K,69, Local-gov,73048, 10th,2, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Female,5317,2426,60, Jamaica, >50K,22826.4
32, Private,205019, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male,0,0,50, United-States, <=50K,40, Private,194957, Assoc-acdm,8, Married-AF-spouse, Farming-fishing, Other-relative, Black, Female,2431,822,6, South, <=50K,5351.400000000001
