sample_id,data_index,original_prediction,counterfactual_prediction,distance,steps,original_age,counterfactual_age,original_workclass,counterfactual_workclass,original_fnlwgt,counterfactual_fnlwgt,original_education,counterfactual_education,original_education-num,counterfactual_education-num,original_marital-status,counterfactual_marital-status,original_occupation,counterfactual_occupation,original_relationship,counterfactual_relationship,original_race,counterfactual_race,original_sex,counterfactual_sex,original_capital-gain,counterfactual_capital-gain,original_capital-loss,counterfactual_capital-loss,original_hours-per-week,counterfactual_hours-per-week,original_native-country,counterfactual_native-country
0,2204,0,1,70.0,62,19,79, Private, Private,55284,55284, HS-grad, Assoc-acdm,9,14, Never-married, Never-married, Sales, Sales, Own-child, Unmarried, White, Asian-Pac-Islander, Female, Female,0,0,0,0,35,37, United-States, United-States
1,1618,0,1,59.0,53,41,90, Private, Private,165309,165309, Bachelors, Bachelors,13,13, Divorced, Divorced, Adm-clerical, Adm-clerical, Unmarried, Unmarried, White, White, Female, Male,0,0,0,0,40,31, United-States, United-States
2,1819,1,1,37630.0,100,40,53, Private, Self-emp-not-inc,121956,153425, Bachelors, 10th,13,16, Married-spouse-absent, Separated, Prof-specialty, Tech-support, Not-in-family, Own-child, Asian-Pac-Islander, Asian-Pac-Islander, Male, Male,13550,19676,0,0,40,27, Cambodia, South
3,428,0,0,9053.0,100,50,86, Private, Private,193374,202372, 1st-4th, Assoc-voc,2,2, Married-spouse-absent, Married-spouse-absent, Craft-repair, Craft-repair, Unmarried, Unmarried, White, Asian-Pac-Islander, Male, Female,0,0,0,0,40,55, United-States, Honduras
4,3647,0,1,28851.0,59,67,90, Self-emp-not-inc, Local-gov,124470,95653, HS-grad, HS-grad,9,7, Married-civ-spouse, Married-civ-spouse, Farming-fishing, Farming-fishing, Husband, Husband, White, Black, Male, Male,0,0,0,0,60,54, United-States, Japan
5,1414,0,1,16.0,3,34,39, Private, Private,122116,122116, Some-college, Some-college,10,10, Married-civ-spouse, Married-civ-spouse, Exec-managerial, Exec-managerial, Husband, Husband, White, White, Male, Male,0,0,0,0,40,51, United-States, United-States
6,394,0,0,34.0,100,33,44, Private, Local-gov,228528,228528, 10th, 5th-6th,6,5, Never-married, Never-married, Craft-repair, Machine-op-inspct, Unmarried, Unmarried, White, Other, Female, Male,0,0,0,0,35,19, United-States, Peru
7,1188,1,0,60527.0,67,46,69, Private, Self-emp-not-inc,279661,219167, Masters, Preschool,14,16, Married-civ-spouse, Married-civ-spouse, Prof-specialty, Exec-managerial, Husband, Husband, Black, Asian-Pac-Islander, Male, Male,0,0,0,0,35,31, United-States, United-States
8,3154,0,1,16679.0,70,37,74, Private, Private,112554,129192, HS-grad, Masters,9,10, Married-civ-spouse, Married-civ-spouse, Sales, Sales, Husband, Own-child, White, White, Male, Male,0,0,0,0,45,44, United-States, United-States
9,1417,0,0,55385.0,100,35,90, Private, Federal-gov,265954,321270, HS-grad, 9th,9,11, Separated, Separated, Other-service, Sales, Not-in-family, Own-child, Black, Black, Male, Female,0,0,0,0,40,46, United-States, Poland
10,1906,0,1,36.0,7,34,64, Private, Private,204991,204991, Some-college, Some-college,10,10, Divorced, Divorced, Exec-managerial, Exec-managerial, Own-child, Own-child, White, White, Male, Male,0,0,0,0,44,50, United-States, United-States
11,3652,0,0,34308.0,100,50,82, Private, State-gov,139464,105209, Bachelors, 12th,13,10, Divorced, Married-spouse-absent, Prof-specialty, Craft-repair, Unmarried, Other-relative, White, White, Female, Female,0,0,0,0,36,48, Ireland, India
12,2615,1,0,14914.0,71,36,48, Private, Federal-gov,246449,231553, Some-college, 1st-4th,10,10, Married-civ-spouse, Married-spouse-absent, Exec-managerial, Handlers-cleaners, Husband, Husband, White, Asian-Pac-Islander, Male, Male,0,0,0,0,60,60, United-States, France
13,954,0,1,30.0,6,37,66, Private, Private,123785,123785, HS-grad, HS-grad,9,9, Never-married, Never-married, Other-service, Other-service, Not-in-family, Not-in-family, White, White, Male, Male,0,0,0,0,75,75, United-States, France
14,2805,0,1,3539.0,76,42,73, Self-emp-not-inc, Self-emp-not-inc,64632,68130, HS-grad, Doctorate,9,6, Married-civ-spouse, Never-married, Exec-managerial, Prof-specialty, Husband, Wife, White, Black, Male, Male,0,0,0,0,50,48, United-States, United-States
15,2731,0,1,516.0,64,27,89, Private, Private,37933,37503, Some-college, 7th-8th,10,6, Never-married, Never-married, Adm-clerical, Transport-moving, Unmarried, Unmarried, Black, Asian-Pac-Islander, Female, Male,0,0,0,0,40,56, United-States, United-States
16,1196,0,1,45.0,11,29,71, Private, Private,419721,419721, HS-grad, HS-grad,9,12, Never-married, Never-married, Other-service, Other-service, Unmarried, Unmarried, Black, Black, Female, Female,0,0,0,0,40,40, Japan, Japan
17,1369,0,1,17.0,3,32,49, Private, Private,402812,402812, Some-college, Some-college,10,10, Married-civ-spouse, Married-civ-spouse, Sales, Sales, Husband, Husband, White, White, Male, Male,0,0,0,0,48,48, United-States, United-States
18,3633,0,1,40.0,5,43,75, Private, Private,174575,174575, Some-college, Some-college,10,10, Divorced, Divorced, Prof-specialty, Prof-specialty, Unmarried, Unmarried, White, White, Male, Male,0,0,0,0,45,53, United-States, United-States
19,344,0,0,10749.0,100,17,83, Private, State-gov,89821,100492, 11th, Doctorate,7,7, Never-married, Widowed, Other-service, Protective-serv, Own-child, Not-in-family, White, Asian-Pac-Islander, Male, Female,0,0,0,0,10,6, United-States, Greece
20,2458,1,0,2.0,1,61,61, Local-gov, Local-gov,167670,167670, Bachelors, Bachelors,13,11, Married-spouse-absent, Married-spouse-absent, Prof-specialty, Prof-specialty, Not-in-family, Not-in-family, White, White, Male, Male,0,0,0,0,40,40, United-States, United-States
21,1039,0,0,33134.0,100,63,90, Federal-gov, Self-emp-not-inc,124244,91153, HS-grad, 5th-6th,9,9, Widowed, Widowed, Handlers-cleaners, Machine-op-inspct, Not-in-family, Not-in-family, Black, Black, Male, Female,0,0,0,0,40,52, United-States, United-States
22,94,0,1,41.0,64,47,79, Self-emp-not-inc, Self-emp-not-inc,149116,149116, Masters, Masters,14,13, Never-married, Widowed, Prof-specialty, Prof-specialty, Not-in-family, Unmarried, White, Black, Female, Female,0,0,0,0,50,46, United-States, France
23,768,0,0,45775.0,100,41,90, Private, Without-pay,180572,134856, Bachelors, 5th-6th,13,13, Divorced, Never-married, Prof-specialty, Machine-op-inspct, Not-in-family, Husband, White, Black, Female, Female,0,0,0,0,50,46, United-States, United-States
24,852,0,1,16.0,3,37,46, Private, Private,214738,214738, HS-grad, HS-grad,9,9, Married-civ-spouse, Married-civ-spouse, Machine-op-inspct, Machine-op-inspct, Husband, Husband, White, White, Male, Male,0,0,0,0,40,47, United-States, United-States
25,3180,1,0,291.0,74,31,61, Private, Private,203488,203488, Bachelors, 11th,13,11, Married-civ-spouse, Married-civ-spouse, Adm-clerical, Adm-clerical, Husband, Not-in-family, White, Other, Male, Male,7298,7536,0,0,50,33, United-States, China
26,1668,0,1,1.0,1,49,49, Private, Private,188330,188330, HS-grad, HS-grad,9,9, Married-civ-spouse, Married-civ-spouse, Sales, Sales, Husband, Wife, White, White, Male, Male,0,0,0,0,40,40, United-States, United-States
27,2013,0,0,59793.0,100,50,72, Private, State-gov,156877,216634, 11th, 7th-8th,7,5, Married-civ-spouse, Separated, Transport-moving, Farming-fishing, Husband, Husband, White, Black, Male, Female,0,0,0,0,70,65, United-States, Outlying-US(Guam-USVI-etc)
28,1867,0,1,42639.0,94,35,78, Private, Self-emp-inc,154410,196991, HS-grad, Assoc-acdm,9,7, Never-married, Married-civ-spouse, Handlers-cleaners, Other-service, Not-in-family, Wife, White, White, Male, Female,0,0,0,0,40,47, United-States, United-States
29,1140,0,0,18884.0,100,55,90, Private, State-gov,326297,307458, HS-grad, 1st-4th,9,8, Separated, Widowed, Adm-clerical, Priv-house-serv, Not-in-family, Wife, White, Amer-Indian-Eskimo, Female, Male,0,0,0,0,25,24, United-States, Thailand
30,822,1,0,11052.0,7,42,89, Self-emp-not-inc, Self-emp-not-inc,177307,166302, Prof-school, Prof-school,15,15, Married-civ-spouse, Married-civ-spouse, Farming-fishing, Farming-fishing, Husband, Husband, White, White, Male, Male,0,0,0,0,65,65, United-States, United-States
31,3587,1,0,1.0,1,33,33, Self-emp-inc, Self-emp-inc,139057,139057, HS-grad, HS-grad,9,9, Married-civ-spouse, Married-civ-spouse, Exec-managerial, Exec-managerial, Husband, Husband, Asian-Pac-Islander, Asian-Pac-Islander, Male, Male,0,0,0,0,84,84, Taiwan, El-Salvador
32,82,0,1,50.0,59,43,90, Federal-gov, Federal-gov,410867,410867, Doctorate, 12th,16,16, Never-married, Never-married, Prof-specialty, Sales, Not-in-family, Not-in-family, White, White, Female, Female,0,0,0,0,50,50, United-States, Iran
33,2332,1,0,38.0,6,47,76, Private, Private,165937,165937, HS-grad, HS-grad,9,8, Married-civ-spouse, Married-civ-spouse, Machine-op-inspct, Machine-op-inspct, Husband, Husband, White, White, Male, Male,0,0,0,0,50,58, United-States, United-States
34,640,0,1,19795.0,69,35,90, Private, Private,203628,223363, Masters, Masters,14,12, Never-married, Never-married, Prof-specialty, Prof-specialty, Not-in-family, Not-in-family, White, Asian-Pac-Islander, Male, Male,0,0,0,0,60,61, United-States, Hong
35,1139,1,0,3.0,1,35,35, Private, Private,33975,33975, Masters, Masters,14,11, Never-married, Never-married, Prof-specialty, Prof-specialty, Not-in-family, Not-in-family, White, White, Male, Male,0,0,0,0,45,45, United-States, United-States
36,136,0,0,45790.0,100,22,90, Private, Self-emp-inc,175374,129664, Some-college, Some-college,10,6, Married-civ-spouse, Married-spouse-absent, Other-service, Priv-house-serv, Husband, Unmarried, White, Other, Male, Female,0,0,0,0,24,25, United-States, Taiwan
37,3297,1,0,12314.0,64,61,90, Self-emp-not-inc, Without-pay,32423,26823, HS-grad, HS-grad,9,6, Married-civ-spouse, Married-civ-spouse, Farming-fishing, Farming-fishing, Wife, Wife, White, White, Female, Female,22040,28703,0,0,40,58, United-States, United-States
38,511,0,1,34271.0,84,69,90, Private, Federal-gov,136218,170451, 11th, Doctorate,7,3, Never-married, Never-married, Machine-op-inspct, Handlers-cleaners, Not-in-family, Wife, White, White, Female, Male,0,0,0,0,40,48, United-States, United-States
39,969,0,0,17722.0,100,38,90, Private, Without-pay,193026,210677, Some-college, Preschool,10,8, Divorced, Divorced, Craft-repair, Priv-house-serv, Not-in-family, Husband, White, Amer-Indian-Eskimo, Male, Male,0,0,0,0,40,29, Iran, Portugal
40,756,0,0,24776.0,100,30,45, Private, Local-gov,129227,104493, HS-grad, Masters,9,7, Widowed, Married-AF-spouse, Adm-clerical, Sales, Not-in-family, Other-relative, White, White, Female, Female,0,0,0,0,40,59, United-States, Portugal
41,3068,0,1,1.0,1,41,41, Self-emp-inc, Self-emp-inc,139916,139916, Assoc-voc, Assoc-voc,11,11, Married-civ-spouse, Married-civ-spouse, Sales, Sales, Husband, Husband, Other, Other, Male, Male,0,0,2179,2179,84,84, Mexico, Guatemala
42,963,0,1,78.0,61,20,90, Private, Federal-gov,74631,74631, Some-college, Some-college,10,10, Never-married, Never-married, Sales, Handlers-cleaners, Not-in-family, Not-in-family, White, Amer-Indian-Eskimo, Female, Female,0,0,0,0,50,46, United-States, China
43,715,0,0,42870.0,100,23,90, Local-gov, Self-emp-not-inc,282579,325364, Assoc-voc, Assoc-voc,11,10, Divorced, Married-AF-spouse, Tech-support, Tech-support, Not-in-family, Other-relative, White, Amer-Indian-Eskimo, Male, Female,0,0,0,0,56,45, United-States, Dominican-Republic
44,708,0,0,23865.0,100,47,77, Self-emp-not-inc, Without-pay,106252,82438, Bachelors, Masters,13,10, Divorced, Married-AF-spouse, Sales, Protective-serv, Not-in-family, Own-child, White, Amer-Indian-Eskimo, Female, Female,0,0,0,0,50,39, United-States, Iran
45,2953,1,0,52.0,7,34,72, Private, Private,27380,27380, Bachelors, Bachelors,13,11, Married-civ-spouse, Married-civ-spouse, Farming-fishing, Farming-fishing, Husband, Husband, White, White, Male, Male,0,0,0,0,50,62, United-States, United-States
46,2204,0,1,6794.0,60,19,90, Private, Private,55284,48568, HS-grad, Some-college,9,12, Never-married, Never-married, Sales, Exec-managerial, Own-child, Own-child, White, White, Female, Male,0,0,0,0,35,35, United-States, India
47,2906,1,0,46.0,55,53,90, Local-gov, Local-gov,110510,110510, HS-grad, 10th,9,9, Married-civ-spouse, Married-civ-spouse, Exec-managerial, Exec-managerial, Wife, Wife, White, White, Female, Female,0,0,0,0,50,42, United-States, United-States
48,2557,0,1,13.0,3,27,40, State-gov, State-gov,194773,194773, Masters, Masters,14,14, Never-married, Never-married, Prof-specialty, Prof-specialty, Not-in-family, Not-in-family, White, White, Female, Female,0,0,0,0,50,50, Germany, Germany
49,934,1,0,1.0,1,50,50, Private, Private,767403,767403, HS-grad, HS-grad,9,9, Married-civ-spouse, Divorced, Machine-op-inspct, Machine-op-inspct, Husband, Husband, White, White, Male, Male,3103,3103,0,0,40,40, United-States, United-States
50,2352,1,0,25513.0,67,39,44, Private, Private,172425,146922, Assoc-voc, Assoc-voc,11,9, Married-civ-spouse, Divorced, Adm-clerical, Other-service, Wife, Wife, White, White, Female, Male,0,0,0,0,20,20, United-States, United-States
51,2877,1,0,26.0,4,45,62, Private, Private,67716,67716, HS-grad, HS-grad,9,7, Never-married, Never-married, Craft-repair, Craft-repair, Own-child, Own-child, White, White, Male, Male,10520,10520,0,0,48,55, United-States, United-States
52,638,0,0,52611.0,100,20,90, Private, Self-emp-not-inc,316702,369228, Some-college, 1st-4th,10,4, Never-married, Separated, Prof-specialty, Priv-house-serv, Own-child, Husband, White, Asian-Pac-Islander, Male, Male,0,0,0,0,20,18, United-States, Philippines
53,1293,0,0,7916.0,100,33,77, Private, Without-pay,130021,137882, HS-grad, 1st-4th,9,7, Married-civ-spouse, Married-civ-spouse, Transport-moving, Sales, Husband, Other-relative, White, Other, Male, Male,0,0,0,0,40,43, United-States, Puerto-Rico
54,1405,0,1,32500.0,2,48,54, Private, Private,176026,143532, HS-grad, HS-grad,9,9, Married-civ-spouse, Married-civ-spouse, Machine-op-inspct, Machine-op-inspct, Husband, Husband, White, White, Male, Male,0,0,0,0,40,40, United-States, United-States
55,55,0,1,3.0,1,30,33, Private, Private,188146,188146, HS-grad, HS-grad,9,9, Married-civ-spouse, Married-civ-spouse, Machine-op-inspct, Machine-op-inspct, Husband, Husband, White, White, Male, Male,5013,5013,0,0,40,40, United-States, United-States
